group_id,module_type,x_position,y_position,width,height,x_end,y_end,is_rotated,module_count,rows,cols,area
1,B,0.0,0.0,4.0,4.0,4.0,4.0,False,2,2,1,16.0
2,B,4.0,0.0,4.0,4.0,8.0,4.0,False,2,2,1,16.0
3,B,8.0,0.0,4.0,4.0,12.0,4.0,False,2,2,1,16.0
4,B,12.0,0.0,4.0,4.0,16.0,4.0,False,2,2,1,16.0
5,B,16.0,0.0,4.0,4.0,20.0,4.0,False,2,2,1,16.0
6,B,20.0,0.0,4.0,4.0,24.0,4.0,False,2,2,1,16.0
7,B,24.0,0.0,4.0,4.0,28.0,4.0,False,2,2,1,16.0
8,B,28.0,0.0,4.0,4.0,32.0,4.0,False,2,2,1,16.0
9,B,32.0,0.0,4.0,4.0,36.0,4.0,False,2,2,1,16.0
10,B,36.0,0.0,4.0,4.0,40.0,4.0,False,2,2,1,16.0
11,B,0.0,4.0,4.0,4.0,4.0,8.0,False,2,2,1,16.0
12,B,4.0,4.0,4.0,4.0,8.0,8.0,False,2,2,1,16.0
13,B,8.0,4.0,4.0,4.0,12.0,8.0,False,2,2,1,16.0
14,B,12.0,4.0,4.0,4.0,16.0,8.0,False,2,2,1,16.0
15,B,16.0,4.0,4.0,4.0,20.0,8.0,False,2,2,1,16.0
16,B,20.0,4.0,4.0,4.0,24.0,8.0,False,2,2,1,16.0
17,B,24.0,4.0,4.0,4.0,28.0,8.0,False,2,2,1,16.0
18,B,28.0,4.0,4.0,4.0,32.0,8.0,False,2,2,1,16.0
19,B,32.0,4.0,4.0,4.0,36.0,8.0,False,2,2,1,16.0
20,B,36.0,4.0,4.0,4.0,40.0,8.0,False,2,2,1,16.0
21,B,0.0,8.0,4.0,4.0,4.0,12.0,False,2,2,1,16.0
22,B,4.0,8.0,4.0,4.0,8.0,12.0,False,2,2,1,16.0
23,B,8.0,8.0,4.0,4.0,12.0,12.0,False,2,2,1,16.0
24,B,12.0,8.0,4.0,4.0,16.0,12.0,False,2,2,1,16.0
25,B,16.0,8.0,4.0,4.0,20.0,12.0,False,2,2,1,16.0
26,B,20.0,8.0,4.0,4.0,24.0,12.0,False,2,2,1,16.0
27,B,24.0,8.0,4.0,4.0,28.0,12.0,False,2,2,1,16.0
28,B,28.0,8.0,4.0,4.0,32.0,12.0,False,2,2,1,16.0
29,B,32.0,8.0,4.0,4.0,36.0,12.0,False,2,2,1,16.0
30,B,36.0,8.0,4.0,4.0,40.0,12.0,False,2,2,1,16.0
31,B,0.0,12.0,4.0,4.0,4.0,16.0,False,2,2,1,16.0
32,B,4.0,12.0,4.0,4.0,8.0,16.0,False,2,2,1,16.0
33,B,8.0,12.0,4.0,4.0,12.0,16.0,False,2,2,1,16.0
34,B,12.0,12.0,4.0,4.0,16.0,16.0,False,2,2,1,16.0
35,B,16.0,12.0,4.0,4.0,20.0,16.0,False,2,2,1,16.0
36,B,20.0,12.0,4.0,4.0,24.0,16.0,False,2,2,1,16.0
37,B,24.0,12.0,4.0,4.0,28.0,16.0,False,2,2,1,16.0
38,B,28.0,12.0,4.0,4.0,32.0,16.0,False,2,2,1,16.0
39,B,32.0,12.0,4.0,4.0,36.0,16.0,False,2,2,1,16.0
40,B,36.0,12.0,4.0,4.0,40.0,16.0,False,2,2,1,16.0
41,B,0.0,16.0,4.0,4.0,4.0,20.0,False,2,2,1,16.0
42,B,4.0,16.0,4.0,4.0,8.0,20.0,False,2,2,1,16.0
43,B,8.0,16.0,4.0,4.0,12.0,20.0,False,2,2,1,16.0
44,B,12.0,16.0,4.0,4.0,16.0,20.0,False,2,2,1,16.0
45,B,16.0,16.0,4.0,4.0,20.0,20.0,False,2,2,1,16.0
46,B,20.0,16.0,4.0,4.0,24.0,20.0,False,2,2,1,16.0
47,B,24.0,16.0,4.0,4.0,28.0,20.0,False,2,2,1,16.0
48,B,28.0,16.0,4.0,4.0,32.0,20.0,False,2,2,1,16.0
49,B,32.0,16.0,4.0,4.0,36.0,20.0,False,2,2,1,16.0
50,B,36.0,16.0,4.0,4.0,40.0,20.0,False,2,2,1,16.0
51,B,0.0,20.0,4.0,4.0,4.0,24.0,False,2,2,1,16.0
52,B,4.0,20.0,4.0,4.0,8.0,24.0,False,2,2,1,16.0
53,B,8.0,20.0,4.0,4.0,12.0,24.0,False,2,2,1,16.0
54,B,12.0,20.0,4.0,4.0,16.0,24.0,False,2,2,1,16.0
55,B,16.0,20.0,4.0,4.0,20.0,24.0,False,2,2,1,16.0
56,B,20.0,20.0,4.0,4.0,24.0,24.0,False,2,2,1,16.0
57,B,24.0,20.0,4.0,4.0,28.0,24.0,False,2,2,1,16.0
58,B,28.0,20.0,4.0,4.0,32.0,24.0,False,2,2,1,16.0
59,B,32.0,20.0,4.0,4.0,36.0,24.0,False,2,2,1,16.0
60,B,36.0,20.0,4.0,4.0,40.0,24.0,False,2,2,1,16.0
61,B,0.0,24.0,4.0,4.0,4.0,28.0,False,2,2,1,16.0
62,B,4.0,24.0,4.0,4.0,8.0,28.0,False,2,2,1,16.0
63,B,8.0,24.0,4.0,4.0,12.0,28.0,False,2,2,1,16.0
64,B,12.0,24.0,4.0,4.0,16.0,28.0,False,2,2,1,16.0
65,B,16.0,24.0,4.0,4.0,20.0,28.0,False,2,2,1,16.0
66,B,20.0,24.0,4.0,4.0,24.0,28.0,False,2,2,1,16.0
67,B,24.0,24.0,4.0,4.0,28.0,28.0,False,2,2,1,16.0
68,B,28.0,24.0,4.0,4.0,32.0,28.0,False,2,2,1,16.0
69,B,32.0,24.0,4.0,4.0,36.0,28.0,False,2,2,1,16.0
70,B,36.0,24.0,4.0,4.0,40.0,28.0,False,2,2,1,16.0
71,B,0.0,28.0,4.0,4.0,4.0,32.0,False,2,2,1,16.0
72,B,4.0,28.0,4.0,4.0,8.0,32.0,False,2,2,1,16.0
73,B,8.0,28.0,4.0,4.0,12.0,32.0,False,2,2,1,16.0
74,B,12.0,28.0,4.0,4.0,16.0,32.0,False,2,2,1,16.0
75,B,16.0,28.0,4.0,4.0,20.0,32.0,False,2,2,1,16.0
76,B,20.0,28.0,4.0,4.0,24.0,32.0,False,2,2,1,16.0
77,B,24.0,28.0,4.0,4.0,28.0,32.0,False,2,2,1,16.0
78,B,28.0,28.0,4.0,4.0,32.0,32.0,False,2,2,1,16.0
79,B,32.0,28.0,4.0,4.0,36.0,32.0,False,2,2,1,16.0
80,B,36.0,28.0,4.0,4.0,40.0,32.0,False,2,2,1,16.0
81,B,0.0,32.0,4.0,4.0,4.0,36.0,False,2,2,1,16.0
82,B,4.0,32.0,4.0,4.0,8.0,36.0,False,2,2,1,16.0
83,B,8.0,32.0,4.0,4.0,12.0,36.0,False,2,2,1,16.0
84,B,12.0,32.0,4.0,4.0,16.0,36.0,False,2,2,1,16.0
85,B,16.0,32.0,4.0,4.0,20.0,36.0,False,2,2,1,16.0
86,B,20.0,32.0,4.0,4.0,24.0,36.0,False,2,2,1,16.0
87,B,24.0,32.0,4.0,4.0,28.0,36.0,False,2,2,1,16.0
88,B,28.0,32.0,4.0,4.0,32.0,36.0,False,2,2,1,16.0
89,B,32.0,32.0,4.0,4.0,36.0,36.0,False,2,2,1,16.0
90,B,36.0,32.0,4.0,4.0,40.0,36.0,False,2,2,1,16.0
91,B,0.0,36.0,4.0,4.0,4.0,40.0,False,2,2,1,16.0
