group_id,module_type,x_position,y_position,width,height,x_end,y_end,is_rotated,module_count,rows,cols,area
1,A,0.0,0.0,11.2,11.2,11.2,11.2,False,4,2,2,125.44
2,A,11.5,0.0,11.2,11.2,22.7,11.2,False,4,2,2,125.44
3,A,23.0,0.0,11.2,11.2,34.2,11.2,False,4,2,2,125.44
4,A,0.0,11.5,11.2,11.2,11.2,22.7,False,4,2,2,125.44
5,A,11.5,11.5,11.2,11.2,22.7,22.7,False,4,2,2,125.44
6,A,23.0,11.5,11.2,11.2,34.2,22.7,False,4,2,2,125.44
7,A,0.0,23.0,11.2,11.2,11.2,34.2,False,4,2,2,125.44
8,A,11.5,23.0,11.2,11.2,22.7,34.2,False,4,2,2,125.44
9,A,23.0,23.0,11.2,11.2,34.2,34.2,False,4,2,2,125.44
10,A,34.4,0.0,5.6,11.2,40.0,11.2,False,2,2,1,62.72
