group_id,module_type,x_position,y_position,width,height,x_end,y_end,is_rotated,module_count,rows,cols,area
1,A,0.0,0.0,11.2,11.2,11.2,11.2,False,4,2,2,125.44
2,A,11.2,0.0,11.2,11.2,22.4,11.2,False,4,2,2,125.44
3,A,22.4,0.0,11.2,11.2,33.6,11.2,False,4,2,2,125.44
4,A,0.0,11.2,11.2,11.2,11.2,22.4,False,4,2,2,125.44
5,A,11.2,11.2,11.2,11.2,22.4,22.4,False,4,2,2,125.44
6,A,22.4,11.2,11.2,11.2,33.6,22.4,False,4,2,2,125.44
7,A,0.0,22.4,11.2,11.2,11.2,33.6,False,4,2,2,125.44
8,A,11.2,22.4,11.2,11.2,22.4,33.6,False,4,2,2,125.44
9,A,22.4,22.4,11.2,11.2,33.6,33.6,False,4,2,2,125.44
10,A,33.6,0.0,5.6,11.2,39.2,11.2,False,2,2,1,62.72
11,A,33.6,11.2,5.6,11.2,39.2,22.4,False,2,2,1,62.72
12,A,33.6,22.4,5.6,11.2,39.2,33.6,False,2,2,1,62.72
13,A,0.0,33.6,11.2,5.6,11.2,39.2,True,2,2,1,62.72
14,A,11.2,33.6,11.2,5.6,22.4,39.2,True,2,2,1,62.72
15,A,22.4,33.6,11.2,5.6,33.6,39.2,True,2,2,1,62.72
