group_id,module_type,x_position,y_position,width,height,x_end,y_end,is_rotated,module_count,rows,cols,area
1,A,0.0,0.0,9.2,11.2,9.2,11.2,False,4,2,2,103.04
2,A,11.2,0.0,9.2,11.2,20.4,11.2,False,4,2,2,103.04
3,A,22.4,0.0,9.2,11.2,31.6,11.2,False,4,2,2,103.04
4,A,33.6,0.0,9.2,11.2,42.8,11.2,False,4,2,2,103.04
5,A,0.0,20.8,11.2,9.2,11.2,30.0,True,4,2,2,103.04
6,A,13.2,11.6,9.2,11.2,22.4,22.8,False,4,2,2,103.04
7,A,24.4,11.6,9.2,11.2,33.6,22.8,False,4,2,2,103.04
8,A,35.6,11.6,9.2,11.2,44.8,22.8,False,4,2,2,103.04
9,B,44.8,0.0,2.0,8.0,46.8,8.0,True,2,1,2,16.0
