group_id,module_type,x_position,y_position,width,height,x_end,y_end,is_rotated,module_count,rows,cols,area
1,A,0.0,0.0,9.2,11.2,9.2,11.2,False,4,2,2,103.04
2,A,11.2,0.0,9.2,11.2,20.4,11.2,False,4,2,2,103.04
3,A,22.4,0.0,9.2,11.2,31.6,11.2,False,4,2,2,103.04
4,A,33.6,0.0,9.2,11.2,42.8,11.2,False,4,2,2,103.04
5,A,0.0,11.2,9.2,11.2,9.2,22.4,False,4,2,2,103.04
6,A,11.2,11.2,9.2,11.2,20.4,22.4,False,4,2,2,103.04
7,A,22.4,11.2,9.2,11.2,31.6,22.4,False,4,2,2,103.04
8,A,33.6,11.2,9.2,11.2,42.8,22.4,False,4,2,2,103.04
9,A,44.8,0.0,4.6,11.2,49.4,11.2,False,2,2,1,51.52
10,A,44.8,11.2,4.6,11.2,49.4,22.4,False,2,2,1,51.52
11,A,0.0,22.4,9.2,5.6,9.2,28.0,False,2,1,2,51.52
12,A,11.2,22.4,9.2,5.6,20.4,28.0,False,2,1,2,51.52
13,A,22.4,22.4,9.2,5.6,31.6,28.0,False,2,1,2,51.52
14,A,33.6,22.4,9.2,5.6,42.8,28.0,False,2,1,2,51.52
15,E,44.3,23.9,18.0,5.5,62.3,29.4,False,6,1,1,99.0
