group_id,module_type,x_position,y_position,width,height,x_end,y_end,is_rotated,module_count,rows,cols,area
1,D,0,0,12.3,3.6,12.3,3.6,False,6,1,2,44.28
2,C,13.8,0,4.5,5.0,18.3,5.0,False,2,2,1,22.5
3,C,13.8,5,4.5,5.0,18.3,10.0,False,2,2,1,22.5
4,C,13.8,10,4.5,5.0,18.3,15.0,False,2,2,1,22.5
5,C,19.8,0.0,4.5,5.0,24.3,5.0,False,2,2,1,22.5
6,C,19.8,5.0,4.5,5.0,24.3,10.0,False,2,2,1,22.5
7,C,0.0,5.1,4.5,5.0,4.5,10.1,False,2,2,1,22.5
8,C,6.0,5.1,4.5,5.0,10.5,10.1,False,2,2,1,22.5
9,C,19.8,10.0,4.5,5.0,24.3,15.0,False,2,2,1,22.5
