group_id,module_type,x_position,y_position,width,height,x_end,y_end,is_rotated,module_count,rows,cols,area
1,A,0.0,0.0,9.2,11.2,9.2,11.2,False,4,2,2,103.04
2,A,11.2,0.0,9.2,11.2,20.4,11.2,False,4,2,2,103.04
3,A,22.4,0.0,9.2,11.2,31.6,11.2,False,4,2,2,103.04
4,A,33.6,0.0,9.2,11.2,42.8,11.2,False,4,2,2,103.04
5,A,0.0,11.2,9.2,11.2,9.2,22.4,False,4,2,2,103.04
6,A,11.2,11.2,9.2,11.2,20.4,22.4,False,4,2,2,103.04
7,A,22.4,11.2,9.2,11.2,31.6,22.4,False,4,2,2,103.04
8,A,33.6,11.2,9.2,11.2,42.8,22.4,False,4,2,2,103.04
9,B,0.0,24.4,8.0,4.0,8.0,28.4,False,4,2,2,32.0
10,B,10.0,24.4,8.0,4.0,18.0,28.4,False,4,2,2,32.0
11,B,20.0,24.4,8.0,4.0,28.0,28.4,False,4,2,2,32.0
12,B,44.8,0.0,4.0,8.0,48.8,8.0,True,4,2,2,32.0
13,B,44.8,10.0,4.0,8.0,48.8,18.0,True,4,2,2,32.0
14,B,44.8,20.0,4.0,8.0,48.8,28.0,True,4,2,2,32.0
15,A,29.5,22.4,9.2,5.6,38.7,28.0,False,2,1,2,51.52
